DIRECCION DE OPERACIONES VOL. 3;ELWOOD S. BUFFA;1987;658.542;B 929d;8073
DIRECCION DE ORGANIZACIONES;ARTURO PALMA LE BLANC;1993;658.3;P 171;7487
DIRECCION ESTRATEGICA;SAMUEL C. CERTO;1997;658.1;C 418d;9461
DIRECCION Y GESTION DE RECURSOS HUMANOS EN LAS ADMINISTRACIONES PUBLICAS;MANUEL VILLORIA MENDIETA;2009;658.409;V 759;14264
DISEÑO DE SISTEMAS DE INFORMACION;JOHN G. BURCH;1999;658.403.88;B 947;6589
DISEÑO DE SISTEMAS DE INFORMACION;JOHN G. BURCH;1999;658.403.88;B 947;6591
EL ADMINISTRADOR COMO UN DEFINIDOR;OSCAR JOHANSEN;2000;658.15;J 65ad;9385
EL MARKETING COMO ARMA COMPETITIVA;TOMAS ALFARO DRAKE;1992;658.82;A 385m;7872
EL METODO DEL CASO EN LA FORMACION DE ADMINISTRADORES ;PATRICIO JIMENEZ BERMEJO;1999;658.07;J61m;10658
EL METODO DEL CASO EN LA FORMACION DE ADMINISTRADORES ;PATRICIO JIMENEZ BERMEJO;1999;658;P722;10506
EL PRECIO. VARIABLE ESTRATEGICA DE MARKETING;EMILIO DE VELASCO;1994;658.810;V 433p;7865
EL PROCESO ESTRATEGICO. CONCEPTOS, CONTEXTOS Y CASOS;HENRY MINTZBERG;1997;658;M 667p;10849
EL SISTEMA DE EMPRESA. UNA VISION INTEGRAL DE LA ADMINISTRACION;PABLO ILLANES FRONTAURA;1996;658.3;I 29s;5157
EL SISTEMA DE EMPRESA. UNA VISION INTEGRAL DE LA ADMINISTRACION;PABLO ILLANES FRONTAURA;1999;658.3;I 29s;5664
ELEMENTOS DE ADMINISTRACION. UN ENFOQUE INTERNACIONAL;HAROLD KOONTZ;2007;658;K 82e;14262
ENCICLOPEDIA DE GESTION Y ADMINISTRACION DE EMPRESAS. TOMO 1;CARL HEYEL;1986;658.15;H 616;2471
ENCICLOPEDIA DE GESTION Y ADMINISTRACION DE EMPRESAS. TOMO 2;CARL HEYEL;1986;658.15;H 616e;2472
ENCICLOPEDIA DE GESTION Y ADMINISTRACION DE EMPRESAS. TOMO 3;CARL HEYEL;1986;658.15;H 616en;2473
ESTRATEGIA INTERNACIONAL MAS ALLA DE LA EXPORTACION;JOSE CARLOS JARILLO ;1991;658.503;J37;16662
ESTRATEGIAS EFICACES DE VENTAS;BRIAN TRACY;1995;658.810;T 761e;10025
ESTRATEGIAS PARA EL LIDERAZGO COMPETITIVO;ARNOLDO HAX;1997;658.3;H 411;7680
ESTRATEGIAS PARA EL LIDERAZGO COMPETITIVO;ARNOLDO HAX;1997;658.3;H 411;7687
ESTRATEGIAS PARA EL LIDERAZGO COMPETITIVO;ARNOLDO HAX;1997;658.3;H 411;9331
EVALUACION DE DECISIONES ESTRATEGICAS;PATRICIO DEL SOL;2000;658.401;S 684e;9146
EVALUACION DE PROYECTOS;GABRIEL BACA URBINA;2001;658.404;B 116e;9820
EVALUACION DE PROYECTOS;GABRIEL BACA URBINA;2001;658.404;B 116e;2395
EVALUACION DE PROYECTOS;GABRIEL BACA URBINA;2001;658.404;B 116e;2396
EVALUACION DE PROYECTOS;GABRIEL BACA URBINA;2001;658.404;B 116e;2397
EVALUACION DE PROYECTOS;GABRIEL BACA URBINA;2001;658.404;B 116e;2398
EVALUACION DE PROYECTOS;GABRIEL BACA URBINA;2001;658.404;B 116e;2399
EVALUACION DE PROYECTOS NO SOLO UNA CUESTION DE NUMEROS;NASSIR SAPAG CHAIN;;658.404;S 241e;1947
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1989;658.404;F 678;1390
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1989;658.404;F 678;1391
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1989;658.404;F 678;3162
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1994;658.404;F 678;5148
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1994;658.404;F 678;1392
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1994;658.404;F 678;1393
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1997;658.404;F 678;4106
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1997;658.404;F 678;4107
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1997;658.404;F 678;4108
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1997;658.404;F 678;4109
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1997;658.404;F 678;10664
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1997;658.404;F 678;9880
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1997;658.404;F 678;9882
EVALUACION SOCIAL DE PROYECTOS;ERNESTO R. FONTAINE;1997;658.404;F 678;9883
FINANZAS;ZVI BODIE;2003;658.17;B 667f;10877
FINANZAS CORPORATIVAS;STEPHEN A. ROSS;1997;658.15;R 826;6289
FINANZAS CORPORATIVAS;STEPHEN A. ROSS;1997;658.15;R 826;6290
FINANZAS EN ADMINISTRACION. VOL. 1;J. FRED WESTON;1984;658.15;W 535f;3518
FINANZAS EN ADMINISTRACION. VOL. 1;J. FRED WESTON;1988;658.15;W 535;3517
FINANZAS EN ADMINISTRACION. VOL. 1;J. FRED WESTON;1995;658.15;W 535fin;9325
FINANZAS EN ADMINISTRACION. VOL. 1;J. FRED WESTON;1995;658.15;W 535fin;1571
FINANZAS EN ADMINISTRACION. VOL. 2;J. FRED WESTON;1984;658.15;W 535f;9755
FINANZAS EN ADMINISTRACION. VOL. 2;J. FRED WESTON;1988;658.15;W 535;3510
FINANZAS EN ADMINISTRACION. VOL. 2;J. FRED WESTON;1995;658.15;W 535fi;9271
FINANZAS EN ADMINISTRACION. VOL. 2;J. FRED WESTON;1995;658.15;W 535fi;9273
FINANZAS INERNACIONALES;PATRICIO JIMENEZ BERMEJO;1998;658.19;J 61f;10859
FUNDAMENTOS DE ADMINISTRACION FINANCIERA;STANLEY B. BLOCK;2008;658.15;B 651a;14254
FUNDAMENTOS DE ADMINISTRACION FINANCIERA;J. FRED WESTON;1999;658.15;W 535fad;1256
FUNDAMENTOS DE ADMINISTRACION FINANCIERA;J. FRED WESTON;1999;658.15;W 535fad;8455
FUNDAMENTOS DE ADMINISTRACION FINANCIERA;J. FRED WESTON;1999;658.15;W 535fad;8466
FUNDAMENTOS DE DIRECCION Y ADMINISTRACION DE EMPRESAS;JAMES H. DONNELLY;1994;658.3;D 681f;10862
FUNDAMENTOS DE ESTRATEGIA EMPRESARIAL;JORGE TARZIJAN M.;2008;658.152.6;T 196f;14261
FUNDAMENTOS DE FINANZAS CORPORATIVAS;STEPHEN A. ROSS;2010;658.15;R 838ffc;14309
FUNDAMENTOS DE MARKETING;WILLIAM J. STANTON;1996;658.8;S 722;5203
FUNDAMENTOS DE MARKETING;WILLIAM J. STANTON;1996;658.8;S 722;5204
FUNDAMENTOS DE MARKETING;WILLIAM J. STANTON;1996;658.8;S 722;5205
FUNDAMENTOS DE MARKETING. ;WILLIAM J. STANTON;2000;658.8;S 792f;3106
FUNDAMENTOS DE MARKETING. ;WILLIAM J. STANTON;2000;658.8;S 792f;3107
FUNDAMENTOS DE MERCADOTECNIA;PHILIP KOTLER;1991;658.8;K 87fm;385
FUNDAMENTOS DE MERCADOTECNIA;PHILIP KOTLER;1991;658.8;K 87fm;386
FUNDAMENTOS DE MERCADOTECNIA;PHILIP KOTLER;1991;658.8;K 87fm;387
FUNDAMENTOS DE MERCADOTECNIA;PHILIP KOTLER;1985;658.8;K 87fm;388
FUNDAMENTOS DE MERCADOTECNIA;PHILIP KOTLER;1998;658.81;K 87f;7906
FUNDAMENTOS DE PREPARACION Y EVALUACION DE PROYECTOS;NASSIR SAPAG CHAIN;1985;658.404;S 241f;2946
FUNDAMENTOS DE SISTEMAS DE INFORMACION;CHRIS EDWARDS;1998;658.403.88;E 26;8479
FUNDAMENTOS DE SISTEMAS DE INFORMACION;CHRIS EDWARDS;1998;658.403.88;E 26;8483
FUNDAMENTOS DE SISTEMAS DE INFORMACION;CHRIS EDWARDS;1998;658.403.88;E 26;8481
FUNDAMENTOS DE SISTEMAS DE INFORMACION;CHRIS EDWARDS;1998;658.403.88;E 26;4135
FUNDAMENTOS DE SISTEMAS DE INFORMACION;CHRIS EDWARDS;1998;658.403.88;E 26;4136
FUNDAMENTOS DE SISTEMAS DE INFORMACION;CHRIS EDWARDS;1998;658.403.88;E 26;8482
FUNDAMENTOS DE SISTEMAS DE INFORMACION;CHRIS EDWARDS;1998;658.403.88;E 26;4138
FUNDAMENTOS Y APLICACIONES DE LA GESTION FINANCIERA DE LA EMPRESA;JOSE MARIA CASTAN FARRERO;2009;658;C 346f;14265
FUNDAMENTOS Y APLICACIONES DE LA GESTION FINANCIERA DE LA EMPRESA;JOSE MARIA CASTAN FARRERO;2009;658;C 346f;14266
GERENCIA DE MARKETING. ESTRATEGIAS Y PROGRAMAS;JOSEPH P. GUILTINAN;1998;658.83;G 953m;10870
GESTION DE EMPRESA CON UNA VISION ESTRATEGICA;ARNOLDO HAX;1996;658;H 411;14450
GESTION DE EMPRESA CON UNA VISION ESTRATEGICA;ARNOLDO HAX;1996;658;H 411;14451
GESTION DE EMPRESAS CON UNA VISION ESTRATEGICA;ARNOLDO HAX;1996;658.3;H 411g;7620
GESTION DE EMPRESAS CON UNA VISION ESTRATEGICA;ARNOLDO HAX;1996;658.3;H 411g;9330
GESTION. CALIDAD Y COMPETITIVIDAD;JOHN M. IVANCEVICH;1997;658.3;I 96g;10867
GUIA COMPLETA DE LAS NORMAS ISO 14000;RICHARD B. CLEMENTS;2000;658.002.8;C 626;7120
GUIA COMPLETA DE LAS NORMAS ISO 14000;RICHARD B. CLEMENTS;2000;658.002.8;C 626;7121
GUIA DE DIRECCION DE PERSONAL;INC;1992;658.409;SC 395d;14247
GUIA DE DIRECCION DE PERSONAL;INC;1992;658.409;SC 395d;14246
GUIA DE FORMULACION DE PROYECTOS DE INVESTIGACION;MAURICIO CASTILLO SANCHEZ;2004;658.404;C 353.2pr.i;13509
GUIA DE FORMULACION DE PROYECTOS DE INVESTIGACION;MAURICIO CASTILLO SANCHEZ;2004;658.404;C 353.2pr.i;13510
GUIA PARA LA PRESENTACION DE PROYECTOS;ILPES;1979;658.404;I 29;2408
GUIA PARA LA PRESENTACION DE PROYECTOS;ILPES;1979;658.404;I 29;2409
GUIA PARA LA PRESENTACION DE PROYECTOS;ILPES;1979;658.404;I 29;2410
INTRODUCCION A LA INFORMATICA Y LOS SISTEMAS DE INFORMACION ADMINISTRATIVOS;OSCAR BARROS V.;1993;658.403.88;B 277iis;715
INTRODUCCION A LA INFORMATICA Y LOS SISTEMAS DE INFORMACION ADMINISTRATIVOS;OSCAR BARROS V.;1993;658.403.88;B 277iis;716
INTRODUCCION A LA INFORMATICA Y LOS SISTEMAS DE INFORMACION ADMINISTRATIVOS;OSCAR BARROS V.;1993;658.403.88;B 277iis;717
INTRODUCCION A LA INFORMATICA Y LOS SISTEMAS DE INFORMACION ADMINISTRATIVOS;OSCAR BARROS V.;1993;658.403.88;B 277iis;718
INTRODUCCION A LA INFORMATICA Y LOS SISTEMAS DE INFORMACION ADMINISTRATIVOS;OSCAR BARROS V.;1993;658.403.88;B 277iis;719
INTRODUCCION A LA INFORMATICA Y LOS SISTEMAS DE INFORMACION ADMINISTRATIVOS;OSCAR BARROS V.;1993;658.403.88;B 277iis;720
INTRODUCCION A LA INVESTIGACION DE MERCADOS;ALFREDO LOPEZ ALTAMIRANO;1995;658.83;L 864i;7963
INTRODUCCION A LA TEORIA GENERAL DE LA ADMINISTRACION;IDALBERTO CHIAVENATO;1989;658.3;CH 533;3153
