INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 2ª EDICION;ROGER S. PRESSMAN;1990;005.3;P 935;429
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 3ª EDICION;ROGER S. PRESSMAN;1993;005.3;P 935;430
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 3ª EDICION;ROGER S. PRESSMAN;1993;005.3;P 935;431
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 3ª EDICION;ROGER S. PRESSMAN;1993;005.3;P 935;432
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 3ª EDICION;ROGER S. PRESSMAN;1993;005.3;P 935;433
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 4ª EDICION;ROGER S. PRESSMAN;1998;005.3;P 939 i;7004
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 4ª EDICION;ROGER S. PRESSMAN;1998;005.3;P 939 i;7005
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 4ª EDICION;ROGER S. PRESSMAN;1998;005.3;P 939 i;7006
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 4ª EDICION;ROGER S. PRESSMAN;1998;005.3;P 939 i;7007
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 4ª EDICION;ROGER S. PRESSMAN;1998;005.3;P 939 i;6043
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 4ª EDICION;ROGER S. PRESSMAN;1998;005.3;P 939 i;4183
INGENIERIA DE SOFTWARE UN ENFOQUE PRACTICO 4ª EDICION;ROGER S. PRESSMAN;1998;005.3;P 939 i;4182
INTELIGENCIA ARTIFICIAL;J.P. AUBERT;1986;001.535;A 889;2795
INTELIGENCIA ARTIFICIAL;ELAINE RICH-KEVIN KNIGHT;1994;001.535;R 498;1088
INTELIGENCIA ARTIFICIAL;ELAINE RICH-KEVIN KNIGHT;1994;001.535;R 498;8566
INTELIGENCIA ARTIFICIAL;ELAINE RICH-KEVIN KNIGHT;1994;001.535;R 498;9624
INTELIGENCIA ARTIFICIAL;Y. SHIRAI y J.TSUJII;1987;001.535;S 558;2790
INTELIGENCIA ARTIFICIAL;PATRICK HENRY WINSTON;1994;001.535;W 783 i;6870
INTELIGENCIA ARTIFICIAL;PATRICK HENRY WINSTON;1994;001.535;W 783 i;6871
INTELIGENCIA ARTIFICIAL-UN ENFOQUE MODERNO;STUART RUSSELL-P. NORVIG;2004;001.535;R 961 i;14226
INTELIGENCIA ARTIFICIAL-UN ENFOQUE MODERNO;STUART RUSSELL-P. NORVIG;1996;001.535;R 967;8235
INTRODUCCION A LA GRAFICACION POR COMPUTADOR;J.D. FOLEY;1996;001;F 663;8217
INTRODUCCION A LA GRAFICACION POR COMPUTADOR;J.D. FOLEY;1996;001;F 663;8259
INTRODUCCION A LA GRAFICACION POR COMPUTADOR;J.D. FOLEY;1996;001;F 663;8258
INTRODUCCION A LA INVESTIGACION DE OPERACIONES ; FREDERICK  S. HILLIER;1997;001.424;H 654 i;9332
